combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C006,C001;C006,2,238.0212003122826,4,292046.92061110813,107274.36824186287,466766.56539753015,1359.5,1271.5,0.0888864698201388,143614.97101127537,C006,1
C001+C002,C001;C002,2,301.9559312421302,4,268917.4646690646,155757.49641340674,354138.205355966,1203.25,1125.0,0.08448114385946202,120485.51506923186,C002,2
C001+C005,C001;C005,2,225.04304361480968,4,251479.40683105134,101801.648098359,371742.73282893735,1246.25,1177.25,0.0773708025596898,103047.45723121858,C005,3
C001+C008,C001;C008,2,198.9287054144573,4,243700.1562763984,95718.87884327244,366670.2922868085,1384.25,1305.5,0.07479172327516788,95268.20667656563,C008,4
C001+C010,C001;C010,2,183.06948869174437,4,232092.67739917312,111682.05502697152,333480.23178655375,1004.75,905.75,0.07192199689283955,83660.72779934035,C010,5
C001+C003,C001;C003,2,351.3904616856741,4,231217.5230184466,132998.73895797512,287031.2855088223,991.5,915.5,0.07318477852697917,82785.57341861384,C003,6
C001+C004,C001;C004,2,277.3388874245918,4,222751.67931259234,126861.54373858991,286632.553040109,1057.5,985.5,0.07013547082758854,74319.72971275958,C004,7
C001+C009,C001;C009,2,169.841499708393,4,219321.9694921848,100051.01238416613,313781.9739151223,1660.5,1300.25,0.06789910169893122,70890.01989235205,C009,8
C001+C007,C001;C007,2,221.7131234650907,4,206125.0734447483,112706.01384747658,257379.63047993075,1156.0,1029.75,0.0648840928325244,57693.123844915535,C007,9
