combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C006+C002+C005,C001;C006;C002;C005,4,505.6645190032016,4,515485.3778178904,233388.4856036818,783935.6900201698,2303.0,2169.75,0.15855321579496298,102952.94213755039,C005,1
C001+C006+C002+C008,C001;C006;C002;C008,4,479.5501808028493,4,507954.09422793274,227305.7163485952,779574.4138393197,2429.5,2286.25,0.1560423440020431,95421.65854759276,C008,2
C001+C006+C002+C010,C001;C006;C002;C010,4,463.69096408013627,4,496193.1634796803,243268.89253229435,745946.959634432,2096.0,1932.75,0.1531301008927474,83660.72779934033,C010,3
C001+C006+C002+C003,C001;C006;C002;C003,4,632.011937074066,4,495338.3307521767,264666.86307618936,699498.0133567005,2074.0,1933.75,0.15440104551982817,82805.89507183671,C003,4
C001+C006+C002+C009,C001;C006;C002;C009,4,450.462975096785,4,483422.45557269204,231637.84988948892,726248.7017630005,2745.75,2321.25,0.14910720569883906,70890.01989235205,C009,5
C001+C006+C002+C004,C001;C006;C002;C004,4,557.9603628129837,4,482570.2116155385,253978.80347373363,695493.6923439493,2083.75,1949.0,0.14993473478191402,70037.77593519853,C004,6
C001+C006+C002+C007,C001;C006;C002;C007,4,502.33459885348265,4,470225.55952525546,244292.8513527994,669846.3583278088,2247.25,2056.75,0.14609219683243227,57693.12384491548,C007,7
