combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C006+C002,C001;C006;C002,3,410.2993034714024,4,412532.43568034,197309.35108029624,616685.7493006871,1827.0,1711.75,0.12728785883975433,120485.51506923186,C002,1
C001+C006+C005,C001;C006;C005,3,333.38641584408185,4,394999.8627486585,143353.50276524847,634016.5061170128,1835.5,1729.5,0.12015182677534746,102952.94213755039,C005,2
C001+C006+C008,C001;C006;C008,3,307.2720776437295,4,387468.5791587009,137270.73351016187,629655.2299361627,1962.0,1846.0,0.11764095498242755,95421.65854759276,C008,3
C001+C006+C010,C001;C006;C010,3,291.4128609210165,4,375707.6484104485,153233.909693861,596027.775731275,1628.5,1492.5,0.11472871187313187,83660.72779934038,C010,4
C001+C006+C003,C001;C006;C003,3,459.7338339149463,4,374852.81568294484,174631.880237756,549578.8294535435,1606.5,1493.5,0.1159996565002126,82805.89507183671,C003,5
C001+C006+C004,C001;C006;C004,3,385.682259653864,4,366896.9123372597,168848.47063573226,549269.7541690142,1655.5,1547.25,0.11311975939428702,74849.99172615155,C004,6
C001+C006+C009,C001;C006;C009,3,278.1848719376652,4,362936.9405034602,141602.8670510556,576329.5178598434,2278.25,1881.0,0.11070581667922352,70890.01989235205,C009,7
C001+C006+C007,C001;C006;C007,3,330.05649569436287,4,349740.04445602366,154257.86851436604,519927.1744246519,1779.75,1616.5,0.10769080781281673,57693.123844915535,C007,8
