combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C006+C002+C005+C003,C001;C006;C002;C005;C003,5,727.3771526058654,child,2,6,42294,38425,2307,50000.0,45568.0,2465.0,866846.6407798727,0.2247827679695062,2949.8189687374,0.0647344401496093,0.0,124.82702327892184,16
C001+C006+C002+C005+C003,C001;C006;C002;C005;C003,5,727.3771526058654,low_confidence_adult,2,6,42294,38425,2515,50000.0,45568.0,2687.0,706755.4374428659,0.215309555217637,-123680.2783381458,-2.7141915014515847,0.0,121.52971327584235,16
C001+C006+C002+C005+C003,C001;C006;C002;C005;C003,5,727.3771526058654,typical_adult,2,6,42294,38425,2483,50000.0,45568.0,2646.0,518915.7024402844,0.1817923942060788,81297.76885226832,1.784097806624568,0.0,121.01897481200284,16
C001+C006+C002+C005+C003,C001;C006;C002;C005;C003,5,727.3771526058654,experienced_adult,2,6,42294,38425,2263,50000.0,45568.0,2403.0,300745.9975995749,0.1208064830432135,85004.86222965273,1.8654508038459603,0.0,112.0343009000644,16
C001+C006+C002+C005+C004,C001;C006;C002;C005;C004,5,653.325578344783,child,2,6,42294,38425,2353,50000.0,45568.0,2504.0,862743.633063432,0.2237188134150165,-6295.2414256372285,-0.1381504877466035,0.0,126.01709977700376,16
C001+C006+C002+C005+C004,C001;C006;C002;C005;C004,5,653.325578344783,low_confidence_adult,2,6,42294,38425,2525,50000.0,45568.0,2691.0,702126.3272563661,0.2138993196502746,-132975.18583969475,-2.918170335316335,0.0,134.7395318810013,16
C001+C006+C002+C005+C004,C001;C006;C002;C005;C004,5,653.325578344783,typical_adult,2,6,42294,38425,2467,50000.0,45568.0,2625.0,487164.7166954382,0.1706690312208877,54217.19928457143,1.1898086219402086,0.0,138.7631505788304,16
C001+C006+C002+C005+C004,C001;C006;C002;C005;C004,5,653.325578344783,experienced_adult,2,6,42294,38425,2283,50000.0,45568.0,2419.0,290057.93799711915,0.1165132026623119,79339.36336709806,1.7411201581613869,0.0,185.3907040860504,16
C001+C006+C002+C005+C007,C001;C006;C002;C005;C007,5,597.6998143852819,child,2,6,42294,38425,2351,50000.0,45568.0,2530.0,837096.2990472915,0.2170681805810473,1360.9460300071669,0.0298662664590758,0.0,179.1823973429855,16
C001+C006+C002+C005+C007,C001;C006;C002;C005;C007,5,597.6998143852819,low_confidence_adult,2,6,42294,38425,2672,50000.0,45568.0,2897.0,700118.2603796443,0.2132875719888224,-110323.16380860753,-2.421066621502096,0.0,127.5978975109756,16
C001+C006+C002+C005+C007,C001;C006;C002;C005;C007,5,597.6998143852819,typical_adult,2,6,42294,38425,2568,50000.0,45568.0,2792.0,475127.4613481027,0.1664520043339168,93130.10560741498,2.0437610956683416,0.0,127.95643745898268,16
C001+C006+C002+C005+C007,C001;C006;C002;C005;C007,5,597.6998143852819,experienced_adult,2,6,42294,38425,2466,50000.0,45568.0,2672.0,280371.985876185,0.112622458246777,64344.12494620844,1.4120462812984649,0.0,194.86599121289328,16
