combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C006+C002,C001;C006;C002,3,410.2993034714024,child,2,3,42294,38425,1701,50000.0,45568.0,1814.0,616685.7493006871,0.1599133262723904,34684.72869726574,0.7611641655825522,0.0,125.04505571210755,16
C001+C006+C002,C001;C006;C002,3,410.2993034714024,low_confidence_adult,2,3,42294,38425,1877,50000.0,45568.0,2005.0,502188.2825178946,0.152989181286883,-50194.19136189903,-1.1015228090304388,0.0,135.57776252995245,16
C001+C006+C002,C001;C006;C002,3,410.2993034714024,typical_adult,2,3,42294,38425,1712,50000.0,45568.0,1832.0,333946.359822482,0.1169918505125982,69527.47048902797,1.5257959640323904,0.0,146.86794371390715,16
C001+C006+C002,C001;C006;C002,3,410.2993034714024,experienced_adult,2,3,42294,38425,1557,50000.0,45568.0,1657.0,197309.35108029624,0.0792570772871457,76089.13782417626,1.6697932282342052,0.0,147.71730970498174,16
C001+C006+C003,C001;C006;C003,3,459.7338339149463,child,2,4,42294,38425,1489,50000.0,45568.0,1609.0,549578.8294535435,0.1425117716218726,51506.25373456269,1.1303163126440197,0.0,130.44111634604633,16
C001+C006+C003,C001;C006;C003,3,459.7338339149463,low_confidence_adult,2,4,42294,38425,1601,50000.0,45568.0,1725.0,442976.49135550624,0.1349506013999839,-46862.57093564851,-1.0284096500976236,0.0,118.7788855158724,16
C001+C006+C003,C001;C006;C003,3,459.7338339149463,typical_adult,2,4,42294,38425,1604,50000.0,45568.0,1720.0,332224.06168497365,0.1163884756282347,70670.7957916092,1.5508864947245695,0.0,155.95908340299502,16
C001+C006+C003,C001;C006;C003,3,459.7338339149463,experienced_adult,2,4,42294,38425,1280,50000.0,45568.0,1372.0,174631.880237756,0.0701477773507592,83038.95440094151,1.8223085147678528,0.0,126.74549443880096,16
C001+C006+C004,C001;C006;C004,3,385.682259653864,child,2,4,42294,38425,1555,50000.0,45568.0,1668.0,549269.7541690142,0.1424316250368839,45635.439265647474,1.001479969839525,0.0,134.96062516607344,16
C001+C006+C004,C001;C006;C004,3,385.682259653864,low_confidence_adult,2,4,42294,38425,1655,50000.0,45568.0,1773.0,445206.675726576,0.1356300160596371,-35783.551893107826,-0.7852780875418677,0.0,127.25646912492812,16
C001+C006+C004,C001;C006;C004,3,385.682259653864,typical_adult,2,4,42294,38425,1611,50000.0,45568.0,1724.0,304262.74881771626,0.1065927535343,35954.29373881017,0.7890250557147597,0.0,157.76190315373242,16
C001+C006+C004,C001;C006;C004,3,385.682259653864,experienced_adult,2,4,42294,38425,1368,50000.0,45568.0,1457.0,168848.47063573226,0.0678246429463271,75021.40215610933,1.6463615290578766,0.0,156.98565697297454,16
C001+C006+C005,C001;C006;C005,3,333.38641584408185,child,2,3,42294,38425,1864,50000.0,45568.0,1979.0,634016.5061170128,0.1644073801279551,66411.14174215091,1.4574074293835786,0.0,140.71473643300124,16
C001+C006+C005,C001;C006;C005,3,333.38641584408185,low_confidence_adult,2,3,42294,38425,1911,50000.0,45568.0,2029.0,494018.8561766589,0.1505004058792556,27278.53166842044,0.598633507470603,0.0,127.5993783599697,16
C001+C006+C005,C001;C006;C005,3,333.38641584408185,typical_adult,2,3,42294,38425,1779,50000.0,45568.0,1888.0,308610.585935714,0.1081159368096988,98620.43656243416,2.1642476422584744,0.0,129.92498509399593,16
C001+C006+C005,C001;C006;C005,3,333.38641584408185,experienced_adult,2,3,42294,38425,1364,50000.0,45568.0,1446.0,143353.50276524847,0.0575835842844803,100414.34062415564,2.203615270017461,0.0,190.13167106895708,16
C001+C006+C007,C001;C006;C007,3,330.05649569436287,child,2,4,42294,38425,1534,50000.0,45568.0,1675.0,519927.1744246519,0.1348227747697019,53238.63208809673,1.1683337449108306,0.0,139.84770918195136,16
C001+C006+C007,C001;C006;C007,3,330.05649569436287,low_confidence_adult,2,4,42294,38425,1758,50000.0,45568.0,1935.0,436339.3142922848,0.1329286181711694,-33505.456406110214,-0.735284770148135,0.0,126.17893836880104,16
C001+C006+C007,C001;C006;C007,3,330.05649569436287,typical_adult,2,4,42294,38425,1689,50000.0,45568.0,1866.0,288435.8205927919,0.1010480857560728,82503.13254675586,1.8105497837683435,0.0,145.8721025919076,16
C001+C006+C007,C001;C006;C007,3,330.05649569436287,experienced_adult,2,4,42294,38425,1485,50000.0,45568.0,1643.0,154257.86851436604,0.0619637525543228,62378.21711749721,1.3689039922203563,0.0,145.0345557311084,16
C001+C006+C008,C001;C006;C008,3,307.2720776437295,child,2,3,42294,38425,2027,50000.0,45568.0,2156.0,629655.2299361627,0.1632764537498717,86503.21915309443,1.8983325832403093,0.0,139.9417170942761,16
C001+C006+C008,C001;C006;C008,3,307.2720776437295,low_confidence_adult,2,3,42294,38425,2049,50000.0,45568.0,2178.0,484700.41919979744,0.1476615900534151,38729.07967900388,0.8499183567197129,0.0,120.95594946783967,16
C001+C006+C008,C001;C006;C008,3,307.2720776437295,typical_adult,2,3,42294,38425,1882,50000.0,45568.0,1999.0,298247.9339886816,0.1044855758494962,101274.75924282752,2.222497349956713,0.0,114.94743200903758,16
