combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002,C001;C002,2,301.9559312421302,child,2,2,42294,38425,905,50000.0,45568.0,973.0,354138.205355966,0.0918318907852607,-58271.51403265835,-1.278781470168942,0.0,132.90508747287095,16
C001+C002,C001;C002,2,301.9559312421302,low_confidence_adult,2,2,42294,38425,1178,50000.0,45568.0,1263.0,321362.4264232389,0.0979014768491847,-68690.48156998475,-1.5074280541165896,0.0,127.0840103328228,16
C001+C002,C001;C002,2,301.9559312421302,typical_adult,2,2,42294,38425,1238,50000.0,45568.0,1322.0,244411.7304836469,0.0856250705995665,38705.55866863526,0.8494021828615533,0.0,130.7468184849713,16
C001+C002,C001;C002,2,301.9559312421302,experienced_adult,2,2,42294,38425,1179,50000.0,45568.0,1255.0,155757.49641340674,0.0625661372038362,50110.96508980845,1.099696389786878,0.0,105.71025869995356,16
C001+C003,C001;C003,2,351.3904616856741,child,2,3,42294,38425,695,50000.0,45568.0,770.0,287031.2855088223,0.0744303361347429,-41449.98899536139,-0.9096293231074744,0.0,123.60130341397598,16
C001+C003,C001;C003,2,351.3904616856741,low_confidence_adult,2,3,42294,38425,906,50000.0,45568.0,987.0,262150.63526085054,0.0798628969622856,-65358.86114373425,-1.4343148951837748,0.0,171.78781240293756,16
C001+C003,C001;C003,2,351.3904616856741,typical_adult,2,3,42294,38425,1144,50000.0,45568.0,1224.0,242689.4323461385,0.085021695715203,39848.88397121648,0.8744927135537324,0.0,131.99704065499827,16
C001+C003,C001;C003,2,351.3904616856741,experienced_adult,2,3,42294,38425,917,50000.0,45568.0,985.0,132998.73895797512,0.0534241852956852,56826.272585285726,1.2470653218329908,0.0,142.79126934683882,16
C001+C004,C001;C004,2,277.3388874245918,child,2,3,42294,38425,764,50000.0,45568.0,832.0,286632.553040109,0.0743269404661434,-50919.96924855044,-1.117450167849158,0.0,93.32605996611528,16
C001+C004,C001;C004,2,277.3388874245918,low_confidence_adult,2,3,42294,38425,971,50000.0,45568.0,1046.0,263352.9606067364,0.0802291794437989,-69295.94151229193,-1.5207150086089345,0.0,156.47525347210467,16
C001+C004,C001;C004,2,277.3388874245918,typical_adult,2,3,42294,38425,1172,50000.0,45568.0,1251.0,214159.65986493404,0.0750268244458956,5597.802551480525,0.1228450349253977,0.0,138.34108265605755,16
C001+C004,C001;C004,2,277.3388874245918,experienced_adult,2,3,42294,38425,1035,50000.0,45568.0,1101.0,126861.54373858991,0.0509589389545163,52207.20152050746,1.145698769322934,0.0,131.76442794199102,16
C001+C005,C001;C005,2,225.04304361480968,child,2,2,42294,38425,1122,50000.0,45568.0,1192.0,371742.73282893735,0.0963969363515786,-30289.94013729268,-0.6647195430410087,0.0,123.06693652505056,16
C001+C005,C001;C005,2,225.04304361480968,low_confidence_adult,2,2,42294,38425,1266,50000.0,45568.0,1341.0,313297.2898000302,0.0954444727893427,8675.4362401437,0.1903843978261872,0.0,229.8484329150524,16
C001+C005,C001;C005,2,225.04304361480968,typical_adult,2,2,42294,38425,1324,50000.0,45568.0,1397.0,219075.95659687888,0.0767491568966671,67798.52474204144,1.4878538610876368,0.0,141.53500935295597,16
C001+C005,C001;C005,2,225.04304361480968,experienced_adult,2,2,42294,38425,997,50000.0,45568.0,1055.0,101801.648098359,0.0408926442011708,74436.16788978784,1.6335184315701334,0.0,113.1598048452288,16
C001+C006,C001;C006,2,238.0212003122826,child,2,2,42294,38425,1374,50000.0,45568.0,1469.0,466766.56539753015,0.1210376502945,76486.77824875311,1.678519536708943,0.0,98.089440345997,16
C001+C006,C001;C006,2,238.0212003122826,low_confidence_adult,2,2,42294,38425,1437,50000.0,45568.0,1536.0,366214.096303597,0.1115653166742428,26951.023854509356,0.5914462748970627,0.0,185.3727587996982,16
