combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C006+C002+C003,C001;C006;C002;C003,4,632.011937074066,child,2,5,42294,38425,1816,50000.0,45568.0,1954.0,699498.0133567005,0.181387447599763,9704.20418307533,0.2129609415176292,0.0,185.64012164692397,16
C001+C006+C002+C003,C001;C006;C002;C003,4,632.011937074066,low_confidence_adult,2,5,42294,38425,2041,50000.0,45568.0,2194.0,578950.6775698039,0.1763744660126241,-124007.7861520569,-2.721378734025125,0.0,138.33269883412868,16
C001+C006+C002+C003,C001;C006;C002;C003,4,632.011937074066,typical_adult,2,5,42294,38425,2010,50000.0,45568.0,2155.0,438237.76900601306,0.1535283917686065,61437.79928523566,1.348266311561527,0.0,130.4954571868293,16
C001+C006+C002+C003,C001;C006;C002;C003,4,632.011937074066,experienced_adult,2,5,42294,38425,1868,50000.0,45568.0,1993.0,264666.86307618936,0.1063138766983191,71859.30691530742,1.5769686384152786,0.0,159.38128534704447,16
C001+C006+C002+C004,C001;C006;C002;C004,4,557.9603628129837,child,2,5,42294,38425,1863,50000.0,45568.0,1994.0,695493.6923439493,0.1803490835815615,3780.3950809649614,0.0829616195787605,0.0,152.35733713023365,16
C001+C006+C002+C004,C001;C006;C002;C004,4,557.9603628129837,low_confidence_adult,2,5,42294,38425,2051,50000.0,45568.0,2198.0,574321.5673833042,0.1749642304452617,-133302.69365360582,-2.925357567889875,0.0,143.07320277090184,16
C001+C006+C002+C004,C001;C006;C002;C004,4,557.9603628129837,typical_adult,2,5,42294,38425,1994,50000.0,45568.0,2134.0,406486.7832611668,0.1424050287834154,34357.22971753878,0.7539771268771678,0.0,136.67857024585828,16
C001+C006+C002+C004,C001;C006;C002;C004,4,557.9603628129837,experienced_adult,2,5,42294,38425,1888,50000.0,45568.0,2009.0,253978.80347373363,0.1020205963174175,66193.80805275275,1.4526379927307047,0.0,143.2595341578126,16
C001+C006+C002+C005,C001;C006;C002;C005,4,505.6645190032016,child,2,4,42294,38425,2191,50000.0,45568.0,2324.0,783935.6900201698,0.2032830561058455,24609.09219066355,0.5400520582571882,0.0,157.75211666803807,16
C001+C006+C002+C005,C001;C006;C002;C005,4,505.6645190032016,low_confidence_adult,2,4,42294,38425,2351,50000.0,45568.0,2498.0,629993.0423909565,0.1919242704918958,-49866.68354798795,-1.0943355764568985,0.0,124.7424606201239,16
C001+C006+C002+C005,C001;C006;C002;C005,4,505.6645190032016,typical_adult,2,4,42294,38425,2185,50000.0,45568.0,2323.0,414624.2932567534,0.1452558529500705,89387.44005606062,1.9616274590954312,0.0,145.8004373370204,16
C001+C006+C002+C005,C001;C006;C002;C005,4,505.6645190032016,experienced_adult,2,4,42294,38425,1952,50000.0,45568.0,2067.0,233388.4856036818,0.0937496836320401,89234.69313852157,1.9582753936648871,0.0,149.3446161041502,16
C001+C006+C002+C007,C001;C006;C002;C007,4,502.33459885348265,child,2,5,42294,38425,1861,50000.0,45568.0,2020.0,669846.3583278088,0.1736984507475923,11436.58253660936,0.2509783737844399,0.0,139.489076805301,16
C001+C006+C002+C007,C001;C006;C002;C007,4,502.33459885348265,low_confidence_adult,2,5,42294,38425,2198,50000.0,45568.0,2404.0,572313.5005065823,0.1743524827838096,-110650.67162251862,-2.428253854075637,0.0,126.54786451999098,16
C001+C006+C002+C007,C001;C006;C002;C007,4,502.33459885348265,typical_adult,2,5,42294,38425,2095,50000.0,45568.0,2301.0,394449.5279138313,0.1381880018964446,73270.13604038232,1.6079296006053,0.0,117.16276681801536,16
C001+C006+C002+C007,C001;C006;C002;C007,4,502.33459885348265,experienced_adult,2,5,42294,38425,2073,50000.0,45568.0,2264.0,244292.8513527994,0.0981298519018826,51198.56963186312,1.1235641158677827,0.0,188.24073704588227,16
C001+C006+C002+C008,C001;C006;C002;C008,4,479.5501808028493,child,2,4,42294,38425,2354,50000.0,45568.0,2501.0,779574.4138393197,0.202152129727762,44701.16960160705,0.9809772121139188,0.0,175.6920798618812,16
C001+C006+C002+C008,C001;C006;C002;C008,4,479.5501808028493,low_confidence_adult,2,4,42294,38425,2489,50000.0,45568.0,2647.0,620674.6054140951,0.1890854546660553,-38416.13553740452,-0.8430507272077887,0.0,125.8119164831005,16
C001+C006+C002+C008,C001;C006;C002;C008,4,479.5501808028493,typical_adult,2,4,42294,38425,2288,50000.0,45568.0,2434.0,404261.641309721,0.1416254919898679,92041.76273645397,2.01987716679367,0.0,138.35377509286627,16
C001+C006+C002+C008,C001;C006;C002;C008,4,479.5501808028493,experienced_adult,2,4,42294,38425,2014,50000.0,45568.0,2136.0,227305.7163485952,0.0913062996244871,97265.2414880775,2.1345075818134984,0.0,132.36610856093466,16
C001+C006+C002+C009,C001;C006;C002;C009,4,450.462975096785,child,2,4,42294,38425,2297,50000.0,45568.0,2719.0,726248.7017630005,0.1883241922350633,35368.30740613641,0.776165453961912,0.0,128.2732089809142,16
C001+C006+C002+C009,C001;C006;C002;C009,4,450.462975096785,low_confidence_adult,2,4,42294,38425,2474,50000.0,45568.0,2911.0,586527.9765640355,0.1786828527469404,-50194.19136189903,-1.1015228090304388,0.0,216.8759502999019,16
C001+C006+C002+C009,C001;C006;C002;C009,4,450.462975096785,typical_adult,2,4,42294,38425,2316,50000.0,45568.0,2745.0,389275.2940742432,0.1363753060125903,69352.99248350938,1.5219670049927445,0.0,124.52401193400146,16
C001+C006+C002+C009,C001;C006;C002;C009,4,450.462975096785,experienced_adult,2,4,42294,38425,2198,50000.0,45568.0,2608.0,231637.84988948892,0.0930464718007623,77511.63302309306,1.7010102050362768,0.0,162.05382501892743,16
