step,selected_candidate,package_ids,project_count,cumulative_length_m,mean_total_benefit,marginal_benefit
1,C001,C001,1,129.6778280830104,148431.94959983276,148431.94959983276
2,C006,C001;C006,2,238.0212003122826,292046.92061110813,143614.97101127537
