combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C006+C002+C005+C008,C001;C006;C002;C005;C008,5,574.9153963346486,4,614814.0344773444,265802.96270884183,952716.58991866,2466.0,2321.25,0.18852568920737328,99328.65665945399,C008,1
C001+C006+C002+C005+C010,C001;C006;C002;C005;C010,5,559.0561796119356,4,599146.1056172308,279348.0270556799,913196.9003539146,2565.75,2385.0,0.18439545784795608,83660.72779934038,C010,2
C001+C006+C002+C005+C003,C001;C006;C002;C005;C003,5,727.3771526058654,4,598315.9445656495,300745.9975995749,866846.6407798727,2550.25,2392.0,0.18567280010910886,82830.56674775912,C003,3
C001+C006+C002+C005+C009,C001;C006;C002;C005;C009,5,545.8281906285843,4,586375.3977102424,267716.9844128745,893498.6424824831,3216.5,2774.0,0.18037256265404772,70890.01989235205,C009,4
C001+C006+C002+C005+C004,C001;C006;C002;C005;C004,5,653.325578344783,4,585523.1537530889,290057.93799711915,862743.633063432,2559.75,2407.0,0.18120009173712268,70037.77593519853,C004,5
C001+C006+C002+C005+C007,C001;C006;C002;C005;C007,5,597.6998143852819,4,573178.5016628059,280371.985876185,837096.2990472915,2722.75,2514.25,0.17735755378764087,57693.123844915535,C007,6
