candidate_id,mean_route_cost_reduction,total_route_cost_reduction,min_profile_route_cost_reduction,max_profile_route_cost_reduction,mean_percent_cost_reduction,mean_improved_demand,min_improved_demand,max_improved_demand,mean_improved_od_records,mean_distance_change_m,mean_runtime_seconds,location,length_m,current_lts,modeled_demand,preliminary_benefit,connects_safe_components,screening_rank,benefit_per_meter,simulation_rank,rank_change
C001,93316.7913435045,373267.165374018,22741.738194989743,154838.80173317264,0.035102365576655324,739.0,456.0,955.0,691.0,0.9694662671711608,143.69324451393913,Chauncy Street,129.6778280830104,3.0,547.5,110508.2031466394,False,1,719.6048293141508,1,0
C002,85055.17063722195,340220.6825488878,33620.45370359358,112845.41748265488,0.03252940919565232,597.75,580.0,626.0,565.5,-0.9733109712405451,173.64129537745612,Cambridge Street,172.27810315911978,3.0,407.5,100054.8153622378,False,2,493.70853914419496,2,0
C003,75082.18000049716,300328.72000198864,28392.58355210497,105833.86717029774,0.028569678327145326,348.5,335.0,359.0,323.75,-0.20982575336217038,187.1605287718121,Hyde Park Avenue,221.7126336026637,3.0,289.75,88879.05199546782,False,3,338.64637653014245,3,0
C004,63188.52894633644,252754.11578534576,29710.31440394762,81313.44352926937,0.024227520099018726,477.75,419.0,540.0,452.75,-0.6471383716065099,135.78694347449346,Beacon Street,147.6610593415814,3.0,393.0,76447.82194762024,False,4,427.9295382824233,4,0
C006,52581.36722703497,210325.46890813988,11186.762531787106,79709.79643026339,0.01977412153747815,487.0,317.0,589.0,458.0,0.6982700306630196,152.47713574045338,Dartmouth Street,108.34337222927216,3.0,366.25,62660.38932879956,False,6,485.3214935544397,5,1
C007,48695.64683025522,194782.58732102087,26661.22777172341,63542.19630077254,0.0187308690329286,584.75,474.0,752.0,494.25,-0.451805423040751,123.94928803100811,Longwood Avenue,92.03529538208026,3.0,480.75,57667.01520402695,False,7,529.0975231632332,6,1
C005,47615.96311554218,190463.85246216872,10759.23981849255,72117.01329845103,0.01790365250074305,453.0,289.0,558.0,438.5,0.437205440470966,141.1205519757932,Pond Street,95.36521553179928,3.0,423.25,63124.62029088623,True,5,499.3011639518055,7,-2
C010,47575.30658117338,190301.22632469353,23697.888561189448,64630.60516687612,0.0181811461263213,269.0,269.0,269.0,221.0,-7.854360108622718e-15,121.13695469155209,South Service Road,53.39166060873392,4.0,269.0,52961.19034507599,False,10,891.0625000000639,8,2
C008,41016.964798451154,164067.85919380462,8919.976757771998,62740.73984531236,0.0154064044111272,532.0,330.0,669.0,510.75,0.33557134581018117,161.04757899197284,Columbia Road,69.25087733144694,3.0,502.25,54805.14432010712,False,8,592.2952369561574,9,-1
C009,39577.98353167804,158311.93412671215,15850.614830565844,56209.05843972645,0.015068877559052526,952.5,931.0,988.0,642.5,0.019414332531388898,128.39721421570903,Massachusetts Avenue,40.1636716253826,3.0,945.25,53504.03515575343,False,9,985.4174663320766,10,-1
