candidate_id,location,rider_profile,current_lts,target_lts,candidate_length_m,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,baseline_weighted_route_cost,intervention_weighted_route_cost,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,minimum_cost_reduction,routing_origins,runtime_seconds,workers,mean_distance_change_m
C001,Chauncy Street,child,3.0,2,129.6778280830104,1,42294,38425,896,50000.0,45568.0,955.0,271620544.0025392,271465705.200806,154838.80173317264,0.0570055561525291,44792.59690944354,0.0,22268,145.20994871598668,16,0.982983604929853
C001,Chauncy Street,low_confidence_adult,3.0,2,129.6778280830104,1,42294,38425,857,50000.0,45568.0,912.0,277396876.1491598,277266862.4081334,130013.74102643084,0.0468692159880419,66483.34788927308,0.0,22268,145.66933343280107,16,1.4589920095082751
C001,Chauncy Street,typical_adult,3.0,2,129.6778280830104,1,42294,38425,590,50000.0,45568.0,633.0,248751070.2091865,248685397.32476705,65672.88441942481,0.0264010459790976,60484.36052972327,0.0,22268,145.0123316331301,16,1.3273428838159074
C001,Chauncy Street,experienced_adult,3.0,2,129.6778280830104,1,42294,38425,421,50000.0,45568.0,456.0,224418163.6480789,224395421.90988383,22741.738194989743,0.0101336441869527,4946.25012138194,0.0,22268,138.8813642738387,16,0.10854657043060788
C002,Cambridge Street,child,3.0,2,172.27810315911978,1,42294,38425,558,50000.0,45568.0,592.0,271620544.0025392,271507698.5850565,112845.41748265488,0.0415452438978989,-88908.78522542286,0.0,22268,170.9494465328753,16,-1.9511232712742026
C002,Cambridge Street,low_confidence_adult,3.0,2,172.27810315911978,1,42294,38425,559,50000.0,45568.0,593.0,277396876.1491598,277293301.0108448,103575.13831505193,0.0373382497138714,-90350.52102788292,0.0,22268,159.57598604494706,16,-1.982762487444762
C002,Cambridge Street,typical_adult,3.0,2,172.27810315911978,1,42294,38425,592,50000.0,45568.0,626.0,248751070.2091865,248660890.5361389,90179.67304758738,0.0362529789205534,-10423.039432884265,0.0,22268,192.34141962300052,16,-0.22873594261069752
C002,Cambridge Street,experienced_adult,3.0,2,172.27810315911978,1,42294,38425,553,50000.0,45568.0,580.0,224418163.6480789,224384543.19437528,33620.45370359358,0.0149811642502856,12275.008336233414,0.0,22268,171.69832930900156,16,0.26937781636748187
C003,Hyde Park Avenue,child,3.0,2,221.7126336026637,2,42294,38425,326,50000.0,45568.0,351.0,271620544.0025392,271514710.1353688,105833.86717029774,0.0389638668749991,-19288.48670025044,0.0,22268,213.95762552809904,16,-0.42329017512838923
C003,Hyde Park Avenue,low_confidence_adult,3.0,2,221.7126336026637,2,42294,38425,324,50000.0,45568.0,349.0,277396876.1491598,277297842.3084089,99033.84075090196,0.0357011377077116,-16821.67365571583,0.0,22268,186.01353425509296,16,-0.36915540852606715
C003,Hyde Park Avenue,typical_adult,3.0,2,221.7126336026637,2,42294,38425,334,50000.0,45568.0,359.0,248751070.2091865,248684001.78065777,67068.42852868399,0.0269620663228837,-4599.973187531808,0.0,22268,137.59240083908662,16,-0.10094744530222544
C003,Hyde Park Avenue,experienced_adult,3.0,2,221.7126336026637,2,42294,38425,311,50000.0,45568.0,335.0,224418163.6480789,224389771.0645268,28392.58355210497,0.0126516424029869,2464.773826668556,0.0,22268,211.07855446496976,16,0.054090015508000265
C004,Beacon Street,child,3.0,2,147.6610593415814,2,42294,38425,415,50000.0,45568.0,439.0,271620544.0025392,271539230.5590099,81313.44352926937,0.0299364114109532,-72387.87522484138,0.0,22268,136.69385958393104,16,-1.5885681887473968
C004,Beacon Street,low_confidence_adult,3.0,2,147.6610593415814,2,42294,38425,394,50000.0,45568.0,419.0,277396876.1491598,277318783.6124436,78092.53671618045,0.0281519164167476,-36164.94756618047,0.0,22268,122.1483090990223,16,-0.7936479012943396
C004,Beacon Street,typical_adult,3.0,2,147.6610593415814,2,42294,38425,488,50000.0,45568.0,513.0,248751070.2091865,248687432.38805053,63637.82113594833,0.0255829336060473,-7875.454660671303,0.0,22268,143.70486099505797,16,-0.17282862229352403
C004,Beacon Street,experienced_adult,3.0,2,147.6610593415814,2,42294,38425,514,50000.0,45568.0,540.0,224418163.6480789,224388453.3336749,29710.31440394762,0.0132388189623268,-1526.9278177686156,0.0,22268,140.6007442199625,16,-0.03350877409077896
C005,Pond Street,child,3.0,2,95.36521553179928,1,42294,38425,518,50000.0,45568.0,533.0,271620544.0025392,271548794.38584155,71749.61669761315,0.0264153865684557,60018.493514070906,0.0,22268,149.29063344793394,16,1.3171193274681994
C005,Pond Street,low_confidence_adult,3.0,2,95.36521553179928,1,42294,38425,541,50000.0,45568.0,558.0,277396876.1491598,277324759.13586134,72117.01329845103,0.0259977741276627,10906.568078874034,0.0,22268,140.7119726270903,16,0.2393470874050657
C005,Pond Street,typical_adult,3.0,2,95.36521553179928,1,42294,38425,417,50000.0,45568.0,432.0,248751070.2091865,248715232.22653887,35837.98264761199,0.014407167220416,8438.4957335854,0.0,22268,108.363662609132,16,0.18518468516470768
C005,Pond Street,experienced_adult,3.0,2,95.36521553179928,1,42294,38425,278,50000.0,45568.0,289.0,224418163.6480789,224407404.4082604,10759.23981849255,0.0047942820864378,326.7527189935738,0.0,22268,166.11593921901658,16,0.007170661845891279
C006,Dartmouth Street,child,3.0,2,108.34337222927216,1,42294,38425,531,50000.0,45568.0,566.0,271620544.0025392,271542705.7159087,77838.28663049391,0.0286569953374978,48875.65417110072,0.0,22268,136.8615665989928,16,1.0725872140778776
C006,Dartmouth Street,low_confidence_adult,3.0,2,108.34337222927216,1,42294,38425,554,50000.0,45568.0,589.0,277396876.1491598,277317166.3527296,79709.79643026339,0.0287349293679148,40401.23711965593,0.0,22268,167.83882088796236,16,0.8866142275205392
C006,Dartmouth Street,typical_adult,3.0,2,108.34337222927216,1,42294,38425,452,50000.0,45568.0,476.0,248751070.2091865,248709479.5858709,41590.62331559548,0.0167197766347778,21869.14914174731,0.0,22268,150.05286896182224,16,0.47992339233118225
C006,Dartmouth Street,experienced_adult,3.0,2,108.34337222927216,1,42294,38425,295,50000.0,45568.0,317.0,224418163.6480789,224406976.8855471,11186.762531787106,0.0049847848097222,16129.03459650595,0.0,22268,155.15528651303612,16,0.35395528872247956
C007,Longwood Avenue,child,3.0,2,92.03529538208026,2,42294,38425,418,50000.0,45568.0,506.0,271620544.0025392,271557001.8062384,63542.19630077254,0.0233937372204727,-32698.126079278416,0.0,22268,133.29420774104074,16,-0.7175677247032658
C007,Longwood Avenue,low_confidence_adult,3.0,2,92.03529538208026,2,42294,38425,390,50000.0,45568.0,474.0,277396876.1491598,277339254.3555781,57621.79358167833,0.0207723296605165,-23998.05455771656,0.0,22268,139.71997645893134,16,-0.5266427000903389
C007,Longwood Avenue,typical_adult,3.0,2,92.03529538208026,2,42294,38425,516,50000.0,45568.0,607.0,248751070.2091865,248704112.8395196,46957.369666846585,0.0188772533229135,-24932.416892376696,0.0,22268,108.0134610199966,16,-0.5471474914935195
C007,Longwood Avenue,experienced_adult,3.0,2,92.03529538208026,2,42294,38425,653,50000.0,45568.0,752.0,224418163.6480789,224391502.4203072,26661.22777172341,0.0118801559278117,-722.8805391120895,0.0,22268,114.76950690406376,16,-0.015863775875879775
C008,Columbia Road,child,3.0,2,69.25087733144694,1,42294,38425,604,50000.0,45568.0,627.0,271620544.0025392,271557803.2626938,62740.73984531236,0.0230986724791795,34866.642669357854,0.0,22268,144.04026029002853,16,0.765156308579658
C008,Columbia Road,low_confidence_adult,3.0,2,69.25087733144694,1,42294,38425,644,50000.0,45568.0,669.0,277396876.1491598,277334338.020314,62538.12884581232,0.0225446406296892,10090.438011231605,0.0,22268,221.85167232598175,16,0.22143692967063738
C008,Columbia Road,typical_adult,3.0,2,69.25087733144694,1,42294,38425,480,50000.0,45568.0,502.0,248751070.2091865,248721201.1954416,29869.01374490795,0.0120075920557003,16469.044083141325,0.0,22268,137.84290749696083,16,0.3614168733133191
C008,Columbia Road,experienced_adult,3.0,2,69.25087733144694,1,42294,38425,315,50000.0,45568.0,330.0,224418163.6480789,224409243.6713211,8919.976757771998,0.0039747124799398,-260.8644202174421,0.0,22268,140.45547585492022,16,-0.005724728322889793
C009,Massachusetts Avenue,child,3.0,2,40.1636716253826,1,42294,38425,624,50000.0,45568.0,933.0,271620544.0025392,271564334.9440994,56209.05843972645,0.0206939643119192,-3.829052630521801e-10,0.0,22268,136.14601239282638,16,-8.402942043806621e-15
C009,Massachusetts Avenue,low_confidence_adult,3.0,2,40.1636716253826,1,42294,38425,622,50000.0,45568.0,931.0,277396876.1491598,277344952.38711256,51923.762047223885,0.0187182216209615,1725.65088744751,0.0,22268,128.33277643099427,16,0.03786979651175189
C009,Massachusetts Avenue,typical_adult,3.0,2,40.1636716253826,1,42294,38425,648,50000.0,45568.0,958.0,248751070.2091865,248716741.71037728,34328.49880919598,0.0138003421574538,1422.4951989164756,0.0,22268,137.76037342101336,16,0.03121697680206451
C009,Massachusetts Avenue,experienced_adult,3.0,2,40.1636716253826,1,42294,38425,676,50000.0,45568.0,988.0,224418163.6480789,224402313.0332483,15850.614830565844,0.0070629821458756,390.5431327977146,0.0,22268,111.3496946180021,16,0.008570556811747598
C010,South Service Road,child,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,271620544.0025392,271555913.3973723,64630.60516687612,0.023794446551978,-3.829052630521801e-10,0.0,22268,112.36099031800404,16,-8.402942043806621e-15
C010,South Service Road,low_confidence_adult,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,277396876.1491598,277333681.7796633,63194.369496501226,0.0227812116609852,-3.524087688333566e-10,0.0,22268,117.826147739077,16,-7.733689625029771e-15
C010,South Service Road,typical_adult,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,248751070.2091865,248712291.84608632,38778.36310012673,0.0155892246282663,-3.358531230901462e-10,0.0,22268,111.53289914806372,16,-7.370372258825189e-15
C010,South Service Road,experienced_adult,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,224418163.6480789,224394465.75951767,23697.888561189448,0.0105597016640557,-3.6046277074319727e-10,0.0,22268,142.8277815610636,16,-7.910436506829293e-15
