figure,profile,used_high_stress_directed_edges,high_demand_threshold_path_count,highlighted_directed_edges,quantile,candidate_id,location,rider_profile,category,origin_node,destination_node,demand,baseline_route_cost,intervention_route_cost,cost_reduction,baseline_route_distance_m,intervention_route_distance_m,distance_change_m,baseline_edge_count,intervention_edge_count,shared_edges,baseline_only_edges,intervention_only_edges,modified_candidate_edges
07_high_stress_high_demand_map.png,typical_adult,13696.0,136.0,690.0,0.95,,,,,,,,,,,,,,,,,,,
08_before_after_route_example.png,,,,,,C001,Chauncy Street,typical_adult,home_office,7686391002,8502145362,5.0,9148.811824279375,9073.389258066822,75.42256621255365,3381.8900967773834,3744.081657139868,362.1915603624848,101.0,116.0,75.0,26.0,41.0,1.0
