combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,4,361276.69561551197,117492.11671014648,522229.985678902,2378.5,2239.0,0.1374821991139217,52848.46292431024,C006,1
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,4,359603.54677642684,133524.6894418829,510952.3307438973,2627.75,2417.75,0.13728331984112585,51175.31408522511,C007,2
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,4,359540.7367877003,131857.84415734457,514044.2451151436,2295.25,2137.25,0.13713928024155797,51112.5040964986,C010,3
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,4,350184.79766426544,116241.163460009,508554.3013886285,2370.75,2236.25,0.13329335556818198,41756.56497306371,C005,4
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,4,346760.1733850198,121557.2958976858,498961.854043723,2928.75,2503.5,0.1321818810202026,38331.94069381809,C009,5
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,4,343544.1936261045,114074.52753133557,498895.2033694824,2425.75,2286.25,0.13076701756446346,35115.960934902774,C008,6
