combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C002,C001;C002,2,301.9559312421302,4,173045.76802267582,54512.00658221323,258627.69746792165,1278.75,1207.75,0.06580794787757342,83563.66605038696,C002,1
C001+C003,C001;C003,2,351.3904616856741,4,165756.76675915185,49891.01835128512,254783.0193682491,1050.25,994.5,0.06285052944017668,76274.664786863,C003,2
C001+C004,C001;C004,2,277.3388874245918,4,154415.24411584926,53122.65868705995,232088.51730774625,1162.75,1097.75,0.058738396673519704,64933.1421435604,C004,3
C001+C006,C001;C006,2,238.0212003122826,4,141862.59471461293,33187.938733369054,224331.94828964229,1119.25,1056.0,0.053530538585603596,52380.49274232407,C006,4
C001+C007,C001;C007,2,221.7131234650907,4,140657.416057514,49346.2302899228,213538.75888892557,1318.0,1186.75,0.053507530358685246,51175.31408522514,C007,5
C001+C010,C001;C010,2,183.06948869174437,4,140594.60606878746,47679.38500538449,216630.6732601719,990.0,910.75,0.05336349075911738,51112.5040964986,C010,6
C001+C005,C001;C005,2,225.04304361480968,4,131366.6790225603,32062.70430804892,211313.341885025,1061.0,1005.25,0.049564196001494025,41884.577050271444,C005,7
C001+C009,C001;C009,2,169.841499708393,4,127814.04266610694,37378.83674572571,201548.28218875127,1620.25,1273.75,0.04840609153776195,38331.94069381808,C009,8
C001+C008,C001;C008,2,198.9287054144573,4,124683.11201140068,29896.06837937548,201575.90085127787,1116.75,1056.0,0.04702233714697195,35201.01003911182,C008,9
