combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,4,308428.23269120173,106398.0307960698,444608.3904934852,2011.75,1897.75,0.11754542151360385,59107.79988166288,C004,1
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,4,301721.86472827167,93167.53523175012,443421.069701319,2037.25,1917.75,0.11465778978511627,52401.43191873282,C006,2
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,4,300495.746894764,109310.11193520168,432559.8384480694,2244.0,2056.5,0.11462674361410885,51175.31408522517,C007,3
C001+C002+C003+C010,C001;C002;C003;C010,4,577.0602254535278,4,300432.93690603744,107643.26665066335,435651.75281931576,1912.0,1776.5,0.11448270401454097,51112.5040964986,C010,4
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,4,291076.99778260256,92026.5859533278,430161.8090928006,1987.0,1875.0,0.11063677934116499,41756.56497306371,C005,5
C001+C002+C003+C009,C001;C002;C003;C009,4,563.8322364701764,4,287652.37350335694,97342.7183910046,420569.36174789513,2545.0,2142.25,0.10952530479318555,38331.94069381809,C009,6
C001+C002+C003+C008,C001;C002;C003;C008,4,592.9194421762409,4,284436.39374444156,89859.95002465436,420502.7110736545,2042.0,1925.0,0.10811044133744645,35115.960934902716,C008,7
