combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,marginal_benefit,candidate_added,round_rank
C001+C002+C003,C001;C002;C003,3,523.6685648447939,4,249320.43280953885,82183.45328938862,366215.8981976573,1628.0,1536.5,0.09488884528658688,76274.66478686302,C003,1
C001+C002+C004,C001;C002;C004,3,449.6169905837116,4,232153.5679043387,78726.58408889442,337020.1897637495,1664.5,1571.0,0.08846452410459045,59107.79988166288,C004,2
C001+C002+C006,C001;C002;C006,3,410.2993034714024,4,225430.18947827548,65496.08852457472,335764.82711905043,1697.0,1598.0,0.08557060968092307,52384.42145559966,C006,3
C001+C002+C007,C001;C002;C007,3,393.99122662421047,4,224221.082107901,81638.6652280263,324971.63771833375,1895.75,1728.75,0.08554584620509542,51175.31408522517,C007,4
C001+C002+C010,C001;C002;C010,3,355.3475918508641,4,224158.27211917442,79971.819943488,328063.5520895801,1567.75,1452.75,0.08540180660552757,51112.5040964986,C010,5
C001+C002+C005,C001;C002;C005,3,397.3211467739295,4,214930.3450729473,64355.13924615242,322746.22071443324,1638.75,1547.25,0.08160251184790422,41884.57705027147,C005,6
C001+C002+C009,C001;C002;C009,3,342.1196028675128,4,211377.70871649394,69671.27168382923,312981.1610181595,2198.0,1815.75,0.08044440738417215,38331.94069381812,C009,7
C001+C002+C008,C001;C002;C008,3,371.2068085735771,4,208246.77806178766,62188.50331747897,313008.7796806861,1694.5,1598.0,0.07906065299338215,35201.01003911183,C008,8
