combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,child,2,7,42319,38188,2431,50000.0,45165.0,2572.0,508554.3013886285,0.1878309622127844,-60395.06668203954,-1.3372094914655053,0.0,227.88078291597776,16
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,low_confidence_adult,2,7,42319,38188,2426,50000.0,45165.0,2564.0,468772.5133229225,0.1695446832437925,-81960.3235339214,-1.8146866718459291,0.0,117.53428083797915,16
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,typical_adult,2,7,42319,38188,2214,50000.0,45165.0,2352.0,307171.21248550166,0.1238641891336812,52656.16772915805,1.1658622324622616,0.0,103.55239389301278,16
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,experienced_adult,2,7,42319,38188,1874,50000.0,45165.0,1995.0,116241.163460009,0.0519335876824698,15100.73257073852,0.334345899938858,0.0,117.99830534309147,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,child,2,7,42319,38188,2450,50000.0,45165.0,2596.0,522229.985678902,0.192881980230224,-57045.6042683101,-1.2630489154945224,0.0,121.03679870208724,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,low_confidence_adult,2,7,42319,38188,2455,50000.0,45165.0,2600.0,486248.2295087901,0.175865264508655,-36013.396824231415,-0.7973740025292021,0.0,97.72620837320574,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,typical_adult,2,7,42319,38188,2180,50000.0,45165.0,2320.0,319136.4505642093,0.1286890700215038,61244.71238352756,1.3560215295810374,0.0,114.57433622796088,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,experienced_adult,2,7,42319,38188,1871,50000.0,45165.0,1998.0,117492.11671014648,0.052492481695304,34464.35349425802,0.763076574654224,0.0,186.58694420894608,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,child,2,8,42319,38188,2497,50000.0,45165.0,2704.0,510952.3307438973,0.1887166575259196,-166781.6492119343,-3.692718902068732,0.0,140.4439434679225,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,low_confidence_adult,2,8,42319,38188,2460,50000.0,45165.0,2660.0,466447.8718596028,0.168703911676876,-124421.92043640371,-2.7548305200133667,0.0,118.81835630629212,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,typical_adult,2,8,42319,38188,2424,50000.0,45165.0,2647.0,327489.2950603245,0.1320572838007161,7690.039525154829,0.1702654605370271,0.0,128.73054616199806,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,experienced_adult,2,8,42319,38188,2290,50000.0,45165.0,2500.0,133524.6894418829,0.0596554263609917,12297.319805935816,0.2722754302210963,0.0,161.54454389307648,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,child,2,7,42319,38188,2491,50000.0,45165.0,2639.0,498895.2033694824,0.1842634421464123,-79147.86620507276,-1.7524159460881823,0.0,158.35152294207364,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,low_confidence_adult,2,7,42319,38188,2507,50000.0,45165.0,2655.0,459807.7409235407,0.1663023227094008,-72163.50625236874,-1.5977749640732588,0.0,144.577368499944,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,typical_adult,2,7,42319,38188,2256,50000.0,45165.0,2395.0,301399.3026800592,0.1215367154032527,52497.08027178084,1.1623398709571755,0.0,146.41057317703962,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,experienced_adult,2,7,42319,38188,1891,50000.0,45165.0,2014.0,114074.52753133557,0.0509655899987881,14513.115431527502,0.3213354462864497,0.0,146.72261457005516,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,child,2,7,42319,38188,2640,50000.0,45165.0,3069.0,498961.854043723,0.1842880591051924,-118504.51532358928,-2.62381302609519,0.0,131.0253672171384,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,low_confidence_adult,2,7,42319,38188,2626,50000.0,45165.0,3052.0,456230.09703148366,0.1650083677884132,-85450.61010960981,-1.891965240996564,0.0,142.45757843507454,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,typical_adult,2,7,42319,38188,2490,50000.0,45165.0,2919.0,310291.44656718674,0.1251223970930402,34236.22814755078,0.7580256425894116,0.0,143.35380825633183,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,experienced_adult,2,7,42319,38188,2258,50000.0,45165.0,2675.0,121557.2958976858,0.0543087000941646,14199.9814511242,0.3144023347973917,0.0,223.1003010820132,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,child,2,7,42319,38188,2290,50000.0,45165.0,2452.0,514044.2451151436,0.1898586344000605,-118655.94760455911,-2.62716589404537,0.0,152.9661062369123,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,low_confidence_adult,2,7,42319,38188,2278,50000.0,45165.0,2437.0,473604.9531760212,0.1712924701999443,-85527.38798250411,-1.893665182829716,0.0,154.1494209030643,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,typical_adult,2,7,42319,38188,2115,50000.0,45165.0,2277.0,318655.9047022918,0.1284952939737865,35272.7743422037,0.7809758517038349,0.0,114.3675095679937,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,experienced_adult,2,7,42319,38188,1866,50000.0,45165.0,2015.0,131857.84415734457,0.0589107223924405,14323.616202806556,0.3171397365837829,0.0,213.5486026587896,16
