step,selected_candidate,package_ids,project_count,cumulative_length_m,mean_total_benefit,marginal_benefit
1,C001,C001,1,129.6778280830104,89482.10197228886,89482.10197228886
2,C002,C001;C002,2,301.9559312421302,173045.76802267582,83563.66605038696
3,C003,C001;C002;C003,3,523.6685648447939,249320.43280953885,76274.66478686302
4,C004,C001;C002;C003;C004,4,671.3296241863752,308428.23269120173,59107.79988166288
5,C006,C001;C002;C003;C004;C006,5,779.6729964156474,361276.69561551197,52848.46292431024
