experiment,robustness_rank,candidate_id,profile_count,mean_route_cost_reduction,min_profile_route_cost_reduction,max_profile_route_cost_reduction,mean_percent_cost_reduction,mean_improved_demand,mean_improved_od_records,location,length_m,current_lts,baseline_rank,baseline_mean_route_cost_reduction,rank_change_vs_baseline,benefit_change_vs_baseline,benefit_change_pct_vs_baseline
od_seed_684,1,C001,4,89482.10197228886,22219.571644109736,147194.8186385135,0.03376963203116325,701.0,665.75,Chauncy Street,129.6778280830104,3.0,1,93316.7913435045,0,-3834.689371215645,-4.109324073413467
od_seed_684,2,C002,4,83921.89606045974,32541.8028781924,111881.85569997012,0.03217644754978793,584.0,548.0,Cambridge Street,172.27810315911978,3.0,2,85055.17063722195,0,-1133.274576762211,-1.3323993923848128
od_seed_684,3,C003,4,76240.31053575253,27671.44670717828,107450.78372528388,0.029068208907461975,358.5,338.0,Hyde Park Avenue,221.7126336026637,3.0,3,75082.18000049716,0,1158.1305352553754,1.5424838959759917
od_seed_684,4,C004,4,67852.58031603988,31409.15773350998,89337.13122356398,0.026079594000065424,505.5,470.75,Beacon Street,147.6610593415814,3.0,4,63188.52894633644,0,4664.05136970344,7.381167828205713
od_seed_684,5,C006,4,52018.648384134875,10999.796795466556,79154.06182436078,0.019629154128343124,490.75,462.0,Dartmouth Street,108.34337222927216,3.0,5,52581.36722703497,0,-562.7188429000962,-1.0701867839807169
od_seed_684,6,C007,4,51175.31408522852,27126.658645815955,66343.94025041568,0.019737898327523276,617.0,521.0,Longwood Avenue,92.03529538208026,3.0,6,48695.64683025522,0,2479.667254973305,5.092174385971307
od_seed_684,7,C010,4,51112.50409650196,25459.813361277644,69435.854621662,0.019593858727955375,289.0,245.0,South Service Road,53.39166060873392,4.0,8,47575.30658117338,1,3537.197515328575,7.434944237917582
od_seed_684,8,C005,4,41276.10490122064,9843.13266394208,63347.65139090244,0.015565607744626925,396.75,376.25,Pond Street,95.36521553179928,3.0,7,47615.96311554218,-1,-6339.858214321539,-13.314564695326231
od_seed_684,9,C009,4,38331.94069382147,15159.265101618872,54353.46355024139,0.014636459506599975,919.25,608.0,Massachusetts Avenue,40.1636716253826,3.0,10,39577.98353167804,1,-1246.0428378565703,-3.1483232005977344
od_seed_684,10,C008,4,34691.79899654904,7676.496735268639,54288.55486166431,0.01306257182125105,452.25,426.75,Columbia Road,69.25087733144694,3.0,9,41016.964798451154,-1,-6325.165801902112,-15.420852890950522
