candidate_id,location,rider_profile,current_lts,target_lts,candidate_length_m,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,baseline_weighted_route_cost,intervention_weighted_route_cost,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,minimum_cost_reduction,routing_origins,runtime_seconds,workers,experiment
C001,Chauncy Street,child,3.0,2,129.6778280830104,1,42294,38425,578,50000.0,45568.0,628.0,385637497.3091657,385433278.2877129,204219.021452809,0.0529562148073703,-16469.464481170977,0.0,22268,124.32588742603548,16,high_aversion
C001,Chauncy Street,low_confidence_adult,3.0,2,129.6778280830104,1,42294,38425,738,50000.0,45568.0,794.0,328250846.4282835,328065458.1880746,185388.24020894125,0.0564776122365445,8454.733646423623,0.0,22268,175.11379095702432,16,high_aversion
C001,Chauncy Street,typical_adult,3.0,2,129.6778280830104,1,42294,38425,832,50000.0,45568.0,887.0,285444121.4146972,285305723.39153457,138398.02316260745,0.0484851544591947,47938.55517500879,0.0,22268,143.65013015200384,16,high_aversion
C001,Chauncy Street,experienced_adult,3.0,2,129.6778280830104,1,42294,38425,591,50000.0,45568.0,634.0,248948558.0769664,248882835.5633914,65722.51357497342,0.0264000378562764,61290.61257544255,0.0,22268,126.90975630702452,16,high_aversion
C002,Cambridge Street,child,3.0,2,172.27810315911978,1,42294,38425,330,50000.0,45568.0,348.0,385637497.3091657,385487111.1059743,150386.2031914643,0.0389967791619858,-36280.0231588762,0.0,22268,316.62523836200126,16,high_aversion
C002,Cambridge Street,low_confidence_adult,3.0,2,172.27810315911978,1,42294,38425,444,50000.0,45568.0,473.0,328250846.4282835,328114550.24284023,136296.18544326274,0.0415219600882402,-84384.24966208063,0.0,22268,166.07736561703496,16,high_aversion
C002,Cambridge Street,typical_adult,3.0,2,172.27810315911978,1,42294,38425,407,50000.0,45568.0,436.0,285444121.4146972,285337943.99328446,106177.42141271876,0.0371972703051266,-9308.080137425415,0.0,22268,123.58400806318969,16,high_aversion
C002,Cambridge Street,experienced_adult,3.0,2,172.27810315911978,1,42294,38425,592,50000.0,45568.0,626.0,248948558.0769664,248858327.0838348,90230.99313158543,0.0362448346070311,-10423.039432884265,0.0,22268,150.63497022911906,16,high_aversion
C003,Hyde Park Avenue,child,3.0,2,221.7126336026637,2,42294,38425,118,50000.0,45568.0,143.0,385637497.3091657,385554685.0451097,82812.26405601893,0.021474121327374,-24980.52451419075,0.0,22268,124.21163870184682,16,high_aversion
C003,Hyde Park Avenue,low_confidence_adult,3.0,2,221.7126336026637,2,42294,38425,169,50000.0,45568.0,194.0,328250846.4282835,328174084.0332316,76762.39505191387,0.0233852847257425,-73813.5947901581,0.0,22268,139.89702166779898,16,high_aversion
C003,Hyde Park Avenue,typical_adult,3.0,2,221.7126336026637,2,42294,38425,321,50000.0,45568.0,346.0,285444121.4146972,285339830.00551367,104291.40918353482,0.0365365412560095,-8089.671203792634,0.0,22268,119.92416996601968,16,high_aversion
C003,Hyde Park Avenue,experienced_adult,3.0,2,221.7126336026637,2,42294,38425,335,50000.0,45568.0,360.0,248948558.0769664,248881281.85158336,67276.22538300499,0.0270241474394101,-4464.3399901571565,0.0,22268,317.0322257841472,16,high_aversion
