rider_profile,od_records,od_records_routed,total_demand,routed_demand,routing_success_rate_by_record,routing_success_rate_by_demand,demand_weighted_total_route_cost,demand_weighted_mean_route_cost,demand_weighted_mean_route_distance_m,unique_routing_origins,total_runtime_seconds,workers
child,42294,38425,50000.0,45568.0,0.9085213032581454,0.91136,271620544.0025392,5960.773876460216,2541.0334644734976,22268,136.79877429199405,16
low_confidence_adult,42294,38425,50000.0,45568.0,0.9085213032581454,0.91136,277396876.1491598,6087.536783469975,2543.752056595904,22268,195.5951962710824,16
typical_adult,42294,38425,50000.0,45568.0,0.9085213032581454,0.91136,248751070.2091865,5458.898134857499,2452.100628761289,22268,154.5837464882061,16
experienced_adult,42294,38425,50000.0,45568.0,0.9085213032581454,0.91136,224418163.6480789,4924.907032305102,2350.219564189554,22268,130.59894596110098,16
