combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002,C001;C002,2,301.9559312421302,child,2,2,42294,38425,1441,50000.0,45568.0,1534.0,267097.5756812127,0.0983348209768388,-44841.75484274879,-0.9840623868229632,0.0,216.99123086920008,16
C001+C002,C001;C002,2,301.9559312421302,low_confidence_adult,2,2,42294,38425,1413,50000.0,45568.0,1502.0,233391.37303996115,0.0841362658007957,-23927.382226737347,-0.5250917799055773,0.0,121.62053253500198,16
C001+C002,C001;C002,2,301.9559312421302,typical_adult,2,2,42294,38425,1178,50000.0,45568.0,1254.0,155653.06866769708,0.0625738287424456,49304.71304408918,1.082003007463333,0.0,128.0882446489995,16
C001+C002,C001;C002,2,301.9559312421302,experienced_adult,2,2,42294,38425,973,50000.0,45568.0,1035.0,56344.26316461808,0.0251068194520004,17523.079801958218,0.3845479240247151,0.0,122.8043916169554,16
C001+C003,C001;C003,2,351.3904616856741,child,2,3,42294,38425,1214,50000.0,45568.0,1298.0,260867.18564559112,0.096041036440584,25504.110209193488,0.5596934298014723,0.0,121.76125906896776,16
C001+C003,C001;C003,2,351.3904616856741,low_confidence_adult,2,3,42294,38425,1172,50000.0,45568.0,1252.0,229082.261547818,0.0825828555562527,49156.25116584062,1.078744978182949,0.0,124.13287172303536,16
C001+C003,C001;C003,2,351.3904616856741,typical_adult,2,3,42294,38425,915,50000.0,45568.0,983.0,132741.31294810554,0.0533631123019801,55884.3873421918,1.2263954385136893,0.0,128.46541019086726,16
C001+C003,C001;C003,2,351.3904616856741,experienced_adult,2,3,42294,38425,724,50000.0,45568.0,783.0,51134.32174709182,0.0227852865899384,7411.023948050856,0.162636585938616,0.0,105.03552793711424,16
C001+C004,C001;C004,2,277.3388874245918,child,2,3,42294,38425,1252,50000.0,45568.0,1333.0,230710.2429741426,0.0849384363842471,-25115.418227867875,-0.5511634969247691,0.0,101.18837708607316,16
C001+C004,C001;C004,2,277.3388874245918,low_confidence_adult,2,3,42294,38425,1204,50000.0,45568.0,1283.0,204394.11978901864,0.0736829205239908,18316.11225924105,0.4019511995093279,0.0,122.51174896400336,16
