combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,mean_distance_change_m,marginal_benefit,candidate_added,round_rank
C001+C002+C003,C001;C002;C003,3,523.6685648447939,4,253261.04926701935,84736.84671672015,373125.9595936311,1671.25,1566.5,0.09612864088855355,-0.22324946787210215,75139.4791286471,C003,1
C001+C002+C004,C001;C002;C004,3,449.6169905837116,4,233400.0067449261,78806.54216748202,339166.39958729665,1693.5,1591.25,0.08866310284113982,-0.6006484068020561,55278.43660655385,C004,2
C001+C002+C006,C001;C002;C006,3,410.2993034714024,4,230934.3027230474,67499.59599019792,345670.7416330932,1758.0,1649.0,0.08739612828006582,0.6647686799567449,52812.73258467516,C006,3
C001+C002+C007,C001;C002;C007,3,393.99122662421047,4,226817.21696862407,83005.49093633858,330639.77198198147,1916.0,1745.5,0.08626880277594742,-0.4624562318508661,48695.64683025182,C007,4
C001+C002+C005,C001;C002;C005,3,397.3211467739295,4,226071.82938826355,67103.50298310773,340025.79301215964,1749.75,1655.25,0.0855663346477948,0.36829475461487443,47950.2592498913,C005,5
C001+C002+C010,C001;C002;C010,3,355.3475918508641,4,225696.8767195422,80042.15172580462,331728.180848085,1600.25,1472.25,0.08571907986934012,-0.010650808810123105,47575.30658116995,C010,6
C001+C002+C008,C001;C002;C008,3,371.2068085735771,4,219417.24693853775,65264.23992238717,330867.975709406,1828.25,1727.0,0.0830476323048373,0.27061267892098784,41295.6768001655,C008,7
C001+C002+C009,C001;C002;C009,3,342.1196028675128,4,217708.9473333751,72194.87799518101,323306.63412093534,2282.75,1892.75,0.08261019766440487,0.00795559016016223,39587.37719500286,C009,8
