combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,mean_distance_change_m,marginal_benefit,candidate_added,round_rank
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,4,308539.4858735732,107199.12571958412,445194.7834997152,2028.75,1901.75,0.11725380998667324,-0.8132470658640352,55278.43660655391,C004,1
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,4,306121.0304098405,95892.1795423,451806.83316520427,2082.5,1948.75,0.1160049183264969,0.44870381627451567,52859.9811428212,C006,2
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,4,301956.69609727117,111398.07448844064,436668.1558943999,2256.0,2060.75,0.11485950992148085,-0.6750548909128452,48695.64683025185,C007,3
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,4,301150.05209057516,95496.0865352098,445881.56457320985,2089.0,1969.75,0.11413462837301368,0.1517468940778951,47889.00282355584,C005,4
C001+C002+C003+C010,C001;C002;C003;C010,4,577.0602254535278,4,300836.3558481893,108434.73527790669,437756.5647605035,1939.25,1786.5,0.1143097870148736,-0.22324946787210215,47575.30658117001,C010,5
C001+C002+C003+C008,C001;C002;C003;C008,4,592.9194421762409,4,294524.1954128698,93656.82347448924,436802.0902850573,2167.5,2041.5,0.11162643165890203,0.05406481838400823,41263.14614585048,C008,6
C001+C002+C003+C009,C001;C002;C003;C009,4,563.8322364701764,4,292848.4264620222,100587.46154728308,429335.0180333538,2621.75,2207.0,0.1112009048099383,-0.20464306890181683,39587.37719500286,C009,7
