step,selected_candidate,package_ids,project_count,cumulative_length_m,mean_total_benefit,marginal_benefit
1,C001,C001,1,129.6778280830104,93316.7913435045,93316.7913435045
2,C002,C001;C002,2,301.9559312421302,178121.57013837225,84804.77879486774
