combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,child,2,7,42294,38425,2515,50000.0,45568.0,2668.0,517950.38847929385,0.1906889592542941,-70513.02752489274,-1.547424234657934,0.0,120.48883889312856,16
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,low_confidence_adult,2,7,42294,38425,2520,50000.0,45568.0,2673.0,475017.9822351486,0.171241287511733,-77701.7363282412,-1.7051820647875966,0.0,110.52892212383448,16
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,typical_adult,2,7,42294,38425,2279,50000.0,45568.0,2417.0,314787.2185359999,0.1265470810924674,50405.88344796012,1.1061684394303046,0.0,155.0211056228727,16
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,experienced_adult,2,7,42294,38425,1906,50000.0,45568.0,2028.0,117958.36553807372,0.052561862026039,17928.04810135426,0.3934350443590734,0.0,145.5701197979506,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,child,2,7,42294,38425,2470,50000.0,45568.0,2642.0,524364.9631161931,0.1930505533157651,-71474.98607203041,-1.5685346311453303,0.0,116.146067667054,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,low_confidence_adult,2,7,42294,38425,2478,50000.0,45568.0,2648.0,483479.5657350596,0.1742916403554186,-53303.75032294411,-1.1697627792078678,0.0,112.19339203508572,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,typical_adult,2,7,42294,38425,2196,50000.0,45568.0,2342.0,320866.1105033143,0.1289908462437901,61599.5284282561,1.3518154939487383,0.0,121.24530769395642,16
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,experienced_adult,2,7,42294,38425,1863,50000.0,45568.0,1995.0,118385.57782701988,0.0527522264252487,33488.41248695361,0.7349107375121491,0.0,129.50925817596726,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,child,2,8,42294,38425,2477,50000.0,45568.0,2703.0,508736.9798004839,0.1872969445918376,-147408.33400485865,-3.2349090152049382,0.0,123.56203791801818,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,low_confidence_adult,2,8,42294,38425,2437,50000.0,45568.0,2657.0,460627.1452050973,0.1660534724109194,-112381.6393372802,-2.4662403295575888,0.0,128.7874724881258,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,typical_adult,2,8,42294,38425,2389,50000.0,45568.0,2603.0,325716.0523184143,0.1309405632082323,12327.911241238458,0.2705387825061108,0.0,125.96324037527664,16
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,experienced_adult,2,8,42294,38425,2281,50000.0,45568.0,2491.0,133860.35349130462,0.0596477358674129,16878.414843248596,0.3704006066373024,0.0,146.522677188972,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,child,2,7,42294,38425,2601,50000.0,45568.0,2762.0,508870.9141911414,0.1873462539661154,-95545.4559772698,-2.096766502310169,0.0,107.62888402212413,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,low_confidence_adult,2,7,42294,38425,2623,50000.0,45568.0,2784.0,465511.2401521883,0.1678141609287182,-76861.02523618523,-1.6867324709485874,0.0,112.14167197817004,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,typical_adult,2,7,42294,38425,2340,50000.0,45568.0,2485.0,308709.2712570118,0.1241036957137123,57380.51064661613,1.2592282006367654,0.0,132.9926994261332,16
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,experienced_adult,2,7,42294,38425,1943,50000.0,45568.0,2069.0,116119.1024773532,0.051742292419541,17340.430962143248,0.3805396541902924,0.0,149.65192524692975,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,child,2,7,42294,38425,2681,50000.0,45568.0,3128.0,501403.8419394378,0.1845971716832842,-114710.2079255806,-2.5173412905016805,0.0,135.02599606104195,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,low_confidence_adult,2,7,42294,38425,2667,50000.0,45568.0,3112.0,454966.68832395575,0.1640129098206983,-86805.19755816704,-1.904959567199944,0.0,133.7425043580588,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,typical_adult,2,7,42294,38425,2519,50000.0,45568.0,2952.0,313087.1814607637,0.1258636520427727,38682.82333253163,0.8489032508016949,0.0,148.5545971719548,16
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,experienced_adult,2,7,42294,38425,2302,50000.0,45568.0,2725.0,123049.74055014703,0.0548305620854769,17991.8385151584,0.3948349393249298,0.0,151.63823018223047,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,child,2,7,42294,38425,2279,50000.0,45568.0,2465.0,509825.3886665874,0.1876976539233429,-114710.2079255806,-2.5173412905016805,0.0,122.9262193129398,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,low_confidence_adult,2,7,42294,38425,2267,50000.0,45568.0,2451.0,466199.72111992014,0.1680623544113881,-88383.58477956399,-1.9395976294672572,0.0,205.78719612117857,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,typical_adult,2,7,42294,38425,2093,50000.0,45568.0,2264.0,317537.0457516944,0.1276525345135852,37260.32813361482,0.817686273999623,0.0,132.92985528940335,16
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,experienced_adult,2,7,42294,38425,1848,50000.0,45568.0,2007.0,130897.01428077064,0.0583272816036569,17601.295382360327,0.3862643825131743,0.0,162.54452354391103,16
