combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,mean_distance_change_m,marginal_benefit,candidate_added,round_rank
C001+C002+C003+C004+C006,C001;C002;C003;C004;C006,5,779.6729964156474,4,361774.0542953967,118385.57782701988,524364.9631161931,2406.75,2251.75,0.13727131658505562,-0.16289279472307766,53234.5684218235,C006,1
C001+C002+C003+C004+C007,C001;C002;C003;C004;C007,5,763.3649195684554,4,357235.132703825,133860.35349130462,508736.9798004839,2613.5,2396.0,0.13598467901960054,-1.2650524889047785,48695.64683025179,C007,2
C001+C002+C003+C004+C005,C001;C002;C003;C004;C005,5,766.6948397181745,4,356428.488697129,117958.36553807372,517950.38847929385,2446.5,2305.0,0.13525979747113337,-0.4382507039140382,47889.002823555784,C005,3
C001+C002+C003+C004+C010,C001;C002;C003;C004;C010,5,724.7212847951091,4,356114.7924547432,130897.01428077064,509825.3886665874,2296.75,2121.75,0.13543495611299328,-0.8132470658640352,47575.30658116995,C010,4
C001+C002+C003+C004+C008,C001;C002;C003;C004;C008,5,740.5805015178222,4,349802.63201942365,116119.1024773532,508870.9141911414,2525.0,2376.75,0.13275160075702172,-0.5359327796079246,41263.14614585042,C008,5
C001+C002+C003+C004+C009,C001;C002;C003;C004;C009,5,711.4932958117578,4,348126.8630685761,123049.74055014703,501403.8419394378,2979.25,2542.25,0.13232607390805803,-0.7946406668937499,39587.37719500286,C009,6
