combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,child,2,6,42294,38425,2059,50000.0,45568.0,2197.0,445194.7834997152,0.1639032073713663,-114710.2079255806,-2.5173412905016805,0.0,151.69965343200602,16
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,low_confidence_adult,2,6,42294,38425,2047,50000.0,45568.0,2183.0,403005.3516234227,0.1452811427504041,-88383.58477956399,-1.9395976294672572,0.0,153.0027169259265,16
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,typical_adult,2,6,42294,38425,1873,50000.0,45568.0,1996.0,278758.682651571,0.1120633098853201,37260.32813361482,0.817686273999623,0.0,142.68557401094586,16
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,experienced_adult,2,6,42294,38425,1628,50000.0,45568.0,1739.0,107199.12571958412,0.0477675799396025,17601.295382360327,0.3862643825131743,0.0,104.23109743697567,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,child,2,5,42294,38425,2215,50000.0,45568.0,2348.0,445881.56457320985,0.1641560531478214,-19933.061142310977,-0.4374355061075969,0.0,126.28993836417794,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,low_confidence_adult,2,5,42294,38425,2201,50000.0,45568.0,2332.0,404472.5241730743,0.1458100501303354,-30572.630498847007,-0.6709232465512422,0.0,120.64320647600108,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,typical_adult,2,5,42294,38425,1909,50000.0,45568.0,2025.0,258750.03308080672,0.1040196662724753,57850.29517090301,1.2695377275917972,0.0,114.47062498191372,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,experienced_adult,2,5,42294,38425,1554,50000.0,45568.0,1651.0,95496.0865352098,0.0425527439414226,20314.60634762107,0.4458086013786225,0.0,162.8137551951222,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,child,2,5,42294,38425,2196,50000.0,45568.0,2349.0,451806.83316520427,0.1663375039706056,-18422.93724260637,-0.404295497774894,0.0,122.8849646220915,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,low_confidence_adult,2,5,42294,38425,2186,50000.0,45568.0,2335.0,412398.7039420581,0.1486673929667132,-6204.13176986655,-0.136151065876636,0.0,115.55895410000812,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,typical_adult,2,5,42294,38425,1866,50000.0,45568.0,1991.0,264386.40498979966,0.1062855346782889,70812.60147852122,1.5539984523903003,0.0,170.49694974301383,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,experienced_adult,2,5,42294,38425,1547,50000.0,45568.0,1655.0,95892.1795423,0.0427292416903799,35600.60953394024,0.7812633763592924,0.0,203.8686954458244,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,child,2,6,42294,38425,2177,50000.0,45568.0,2383.0,436668.1558943999,0.160764038485365,-96828.36762227688,-2.1249202866546013,0.0,148.4393623401411,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,low_confidence_adult,2,6,42294,38425,2118,50000.0,45568.0,2316.0,390081.6871430229,0.1406222350295217,-65252.53350788599,-1.431981511321234,0.0,143.80058435816318,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,typical_adult,2,6,42294,38425,2019,50000.0,45568.0,2211.0,269678.8668632211,0.1084131483882402,19772.32296418134,0.4339080706676032,0.0,141.64594570803456,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,experienced_adult,2,6,42294,38425,1929,50000.0,45568.0,2114.0,111398.07448844064,0.0496386177827965,19264.973089515403,0.4227741636568513,0.0,148.6320236879401,16
