step,selected_candidate,location,current_lts,length_m,cumulative_length_m,isolated_simulation_rank,isolated_mean_benefit,marginal_benefit,interaction_effect,mean_total_benefit,marginal_share_of_final_benefit_pct,cumulative_share_of_final_benefit_pct
1,C001,Chauncy Street,3.0,129.6778280830104,129.6778280830104,1,93316.7913435045,93316.7913435045,0.0,93316.7913435045,25.794218859959823,25.794218859959823
2,C002,Cambridge Street,3.0,172.27810315911978,301.9559312421302,2,85055.17063722195,84804.77879486774,-250.39184235420544,178121.57013837225,23.44136562253929,49.235584482499114
3,C003,Hyde Park Avenue,3.0,221.7126336026637,523.6685648447939,3,75082.18000049716,75139.4791286471,57.29912814994168,253261.0492670193,20.769725809937164,70.00531029243626
4,C004,Beacon Street,3.0,147.6610593415814,671.3296241863752,4,63188.52894633644,55278.43660655391,-7910.092339782532,308539.4858735732,15.279823400883748,85.28513369332002
5,C006,Dartmouth Street,3.0,108.34337222927216,779.6729964156474,5,52581.36722703497,53234.5684218235,653.2011947885258,361774.0542953967,14.714866306679987,100.0
