combination_id,candidate_ids,project_count,cumulative_length_m,profile_count,mean_total_benefit,min_profile_benefit,max_profile_benefit,mean_improved_demand,mean_improved_od_records,mean_percent_cost_reduction,mean_distance_change_m,marginal_benefit,candidate_added,round_rank
C001+C002,C001;C002,2,301.9559312421302,4,178121.57013837225,56344.26316461808,267097.5756812127,1331.25,1251.25,0.06753793374302013,-0.010650808810123105,84804.77879486774,C002,1
C001+C003,C001;C003,2,351.3904616856741,4,168456.2704721516,51134.32174709182,260867.18564559112,1079.0,1006.25,0.0636930727221888,0.7568676081091816,75139.4791286471,C003,2
C001+C004,C001;C004,2,277.3388874245918,4,153419.53163552264,51959.04390387933,230710.2429741426,1174.25,1102.5,0.058168576976026475,0.2694274357238908,60102.740292018134,C004,3
C001+C006,C001;C006,2,238.0212003122826,4,146129.5239281797,33897.071020569594,233411.9676850532,1165.75,1088.75,0.05496056011370105,1.6448857559380288,52812.73258467519,C006,4
C001+C007,C001;C007,2,221.7131234650907,4,142012.4381737563,49402.965966710246,218380.9980339414,1323.75,1185.25,0.05383323460958262,0.5176608441304177,48695.64683025179,C007,5
C001+C005,C001;C005,2,225.04304361480968,4,141267.0505933958,33500.978013479384,227767.0190641196,1157.5,1095.0,0.053130766481430024,1.3484118305961583,47950.2592498913,C005,6
C001+C010,C001;C010,2,183.06948869174437,4,140892.09792467448,46439.62675617629,219469.406900045,1008.0,912.0,0.05328351170297535,0.9694662671711608,47575.30658116998,C010,7
C001+C008,C001;C008,2,198.9287054144573,4,134612.46814367003,31661.714952758837,218609.201761366,1236.0,1166.75,0.05061206413847255,1.2507297549022716,41295.67680016553,C008,8
C001+C009,C001;C009,2,169.841499708393,4,132904.16853850737,38592.353025552686,211047.8601728953,1690.5,1332.5,0.05017462949804008,0.9880726661414461,39587.37719500286,C009,9
